Målernummer;Dato;Time;Forbruk;Max
7.07058E+17;31.12.2021;Totalt;742.8;37.4
7.07058E+17;31.12.2021;23;27.2;
7.07058E+17;31.12.2021;22;30.8;
7.07058E+17;31.12.2021;21;33.2;
7.07058E+17;31.12.2021;20;34.8;
7.07058E+17;31.12.2021;19;37.4;
7.07058E+17;31.12.2021;18;36.6;
7.07058E+17;31.12.2021;17;32.8;
7.07058E+17;31.12.2021;16;33.6;
7.07058E+17;31.12.2021;15;29.6;
7.07058E+17;31.12.2021;14;28.6;
7.07058E+17;31.12.2021;13;26.4;
7.07058E+17;31.12.2021;12;28.4;
7.07058E+17;31.12.2021;11;29;
7.07058E+17;31.12.2021;10;29;
7.07058E+17;31.12.2021;9;28.4;
7.07058E+17;31.12.2021;8;29;
7.07058E+17;31.12.2021;7;29.4;
7.07058E+17;31.12.2021;6;31.8;
7.07058E+17;31.12.2021;5;31.4;
7.07058E+17;31.12.2021;4;30.4;
7.07058E+17;31.12.2021;3;30.8;
7.07058E+17;31.12.2021;2;32;
7.07058E+17;31.12.2021;1;32;
7.07058E+17;31.12.2021;0;30.2;
7.07058E+17;30.12.2021;Totalt;761.8;34.6
7.07058E+17;30.12.2021;23;33.2;
7.07058E+17;30.12.2021;22;33.8;
7.07058E+17;30.12.2021;21;29.4;
7.07058E+17;30.12.2021;20;28.8;
7.07058E+17;30.12.2021;19;29.8;
7.07058E+17;30.12.2021;18;31.2;
7.07058E+17;30.12.2021;17;32.2;
7.07058E+17;30.12.2021;16;30.8;
7.07058E+17;30.12.2021;15;28;
7.07058E+17;30.12.2021;14;28.6;
7.07058E+17;30.12.2021;13;28.4;
7.07058E+17;30.12.2021;12;30.2;
7.07058E+17;30.12.2021;11;31.6;
7.07058E+17;30.12.2021;10;34;
7.07058E+17;30.12.2021;9;34.6;
7.07058E+17;30.12.2021;8;34.2;
7.07058E+17;30.12.2021;7;34.6;
7.07058E+17;30.12.2021;6;34.4;
7.07058E+17;30.12.2021;5;32.4;
7.07058E+17;30.12.2021;4;32.2;
7.07058E+17;30.12.2021;3;32.2;
7.07058E+17;30.12.2021;2;30.8;
7.07058E+17;30.12.2021;1;32.6;
7.07058E+17;30.12.2021;0;33.8;
7.07058E+17;29.12.2021;Totalt;959.4;45.4
7.07058E+17;29.12.2021;23;36.8;
7.07058E+17;29.12.2021;22;33.8;
7.07058E+17;29.12.2021;21;34;
7.07058E+17;29.12.2021;20;32.8;
7.07058E+17;29.12.2021;19;37.4;
7.07058E+17;29.12.2021;18;38;
7.07058E+17;29.12.2021;17;37.6;
7.07058E+17;29.12.2021;16;37.8;
7.07058E+17;29.12.2021;15;36.8;
7.07058E+17;29.12.2021;14;38.4;
7.07058E+17;29.12.2021;13;41.4;
7.07058E+17;29.12.2021;12;42;
7.07058E+17;29.12.2021;11;45.2;
7.07058E+17;29.12.2021;10;40;
7.07058E+17;29.12.2021;9;44.2;
7.07058E+17;29.12.2021;8;43.2;
7.07058E+17;29.12.2021;7;43.6;
7.07058E+17;29.12.2021;6;42.6;
7.07058E+17;29.12.2021;5;41.2;
7.07058E+17;29.12.2021;4;41;
7.07058E+17;29.12.2021;3;41;
7.07058E+17;29.12.2021;2;42.4;
7.07058E+17;29.12.2021;1;42.8;
7.07058E+17;29.12.2021;0;45.4;
7.07058E+17;28.12.2021;Totalt;963.6;50.2
7.07058E+17;28.12.2021;23;44.2;
7.07058E+17;28.12.2021;22;45.6;
7.07058E+17;28.12.2021;21;42.8;
7.07058E+17;28.12.2021;20;45.8;
7.07058E+17;28.12.2021;19;50.2;
7.07058E+17;28.12.2021;18;49;
7.07058E+17;28.12.2021;17;47.6;
7.07058E+17;28.12.2021;16;47.4;
7.07058E+17;28.12.2021;15;44.2;
7.07058E+17;28.12.2021;14;42.6;
7.07058E+17;28.12.2021;13;45;
7.07058E+17;28.12.2021;12;45.4;
7.07058E+17;28.12.2021;11;46.8;
7.07058E+17;28.12.2021;10;38;
7.07058E+17;28.12.2021;9;34.8;
7.07058E+17;28.12.2021;8;33.6;
7.07058E+17;28.12.2021;7;32.2;
7.07058E+17;28.12.2021;6;32;
7.07058E+17;28.12.2021;5;35.2;
7.07058E+17;28.12.2021;4;31.6;
7.07058E+17;28.12.2021;3;31.8;
7.07058E+17;28.12.2021;2;32.8;
7.07058E+17;28.12.2021;1;32.4;
7.07058E+17;28.12.2021;0;32.6;
7.07058E+17;27.12.2021;Totalt;825.6;41
7.07058E+17;27.12.2021;23;32.8;
7.07058E+17;27.12.2021;22;34.6;
7.07058E+17;27.12.2021;21;34.6;
7.07058E+17;27.12.2021;20;33.8;
7.07058E+17;27.12.2021;19;35.6;
7.07058E+17;27.12.2021;18;40.8;
7.07058E+17;27.12.2021;17;41;
7.07058E+17;27.12.2021;16;40.4;
7.07058E+17;27.12.2021;15;33;
7.07058E+17;27.12.2021;14;33.4;
7.07058E+17;27.12.2021;13;35.6;
7.07058E+17;27.12.2021;12;33;
7.07058E+17;27.12.2021;11;32.4;
7.07058E+17;27.12.2021;10;34.2;
7.07058E+17;27.12.2021;9;33.4;
7.07058E+17;27.12.2021;8;34.4;
7.07058E+17;27.12.2021;7;33.6;
7.07058E+17;27.12.2021;6;33.2;
7.07058E+17;27.12.2021;5;33.8;
7.07058E+17;27.12.2021;4;32.2;
7.07058E+17;27.12.2021;3;31.4;
7.07058E+17;27.12.2021;2;32.6;
7.07058E+17;27.12.2021;1;32.2;
7.07058E+17;27.12.2021;0;33.6;
7.07058E+17;26.12.2021;Totalt;720.4;34.6
7.07058E+17;26.12.2021;23;31.4;
7.07058E+17;26.12.2021;22;29.2;
7.07058E+17;26.12.2021;21;29.2;
7.07058E+17;26.12.2021;20;29.2;
7.07058E+17;26.12.2021;19;30;
7.07058E+17;26.12.2021;18;27.4;
7.07058E+17;26.12.2021;17;25.8;
7.07058E+17;26.12.2021;16;27.8;
