Dato;1;2;3;3B;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;Date;D�gnpris;;;;;;;
01.01.2021;260,59;254,32;250,46;;247,74;247,85;251,29;255,26;260,38;260,07;261,84;267,69;270,72;272,91;277,51;285,13;298,82;306,55;306,02;301,01;295,06;285,34;281,79;276,15;267,80;01.01.2021;272,60;;;;;;;
02.01.2021;267,27;260,17;258,40;;257,56;258,19;260,28;267,59;273,54;278,87;280,85;289,31;293,39;290,77;290,77;291,51;293,28;301,32;302,16;297,98;297,77;285,97;281,58;280,43;270,93;02.01.2021;280,41;;;;;;;
03.01.2021;263,93;256,83;249,21;;246,18;245,34;249,10;251,19;259,02;260,80;267,90;271,56;272,29;270,20;269,78;271,77;276,78;292,97;297,98;294,22;291,61;287,85;282,42;273,44;260,28;03.01.2021;269,28;;;;;;;
04.01.2021;257,56;251,19;249,41;;250,98;256,73;269,89;294,64;322,21;513,87;522,43;578,63;590,43;543,85;590,43;605,68;601,71;627,40;681,19;622,39;433,76;393,55;363,68;323,26;285,66;04.01.2021;434,61;;;;;;;
05.01.2021;290,23;286,47;282,61;;283,23;290,02;311,10;373,40;486,21;626,16;627,41;638,47;651,83;641,61;650,06;645,88;652,35;670,62;678,97;492,68;467,64;425,58;413,27;334,58;304,84;05.01.2021;480,22;;;;;;;
06.01.2021;312,39;300,76;294,38;;293,01;294,90;303,70;321,71;372,19;410,30;438,58;482,46;474,08;483,92;495,86;537,33;574,93;611,58;627,60;582,99;526,23;417,22;418,16;405,28;340,35;06.01.2021;430,00;;;;;;;
07.01.2021;447,02;424,40;406,66;;412,78;428,34;472,55;548,50;703,53;876,09;870,17;855,44;892,28;878,99;853,88;815,80;846,41;930,56;1036,72;878,06;807,19;671,67;605,47;600,18;525,36;07.01.2021;699,50;;;;;;;
08.01.2021;511,30;491,28;474,69;;461,52;473,76;521,87;618,41;802,35;1073,61;1117,78;1112,80;1081,07;1035,97;987,85;961,41;989,41;985,06;1140,59;1036,38;830,76;637,49;616,23;582,95;523,43;08.01.2021;794,50;;;;;;;
09.01.2021;490,57;485,01;479,23;;491,50;495,32;492,53;497,58;537,80;599,14;666,88;676,47;679,36;669,87;624,30;599,45;599,45;627,19;710,08;718,54;678,12;514,80;494,39;448,20;377,78;09.01.2021;568,90;;;;;;;
10.01.2021;401,89;372,19;355,43;;350,46;350,15;353,98;352,12;389,16;404,47;421,75;456,93;469,14;463,14;458,79;470,28;482,90;524,81;568,58;551,92;511,05;480,42;460,35;414,61;371,26;10.01.2021;434,82;;;;;;;
11.01.2021;420,10;409,65;390,92;;366,60;385,85;428,48;442,65;520,88;592,38;513,43;492,22;461,90;448,34;440,89;435,10;437,79;447,83;465,42;444,21;410,89;383,98;354,29;343,63;292,41;11.01.2021;430,41;;;;;;;
12.01.2021;270,78;263,23;258,05;;261,36;289,83;362,60;415,49;564,23;627,68;568,89;584,83;572,82;518,59;497,37;497,26;538,36;632,03;663,71;625,20;522,21;432,57;421,39;390,75;358,35;12.01.2021;464,07;;;;;;;
13.01.2021;342,50;336,28;327,47;;319,80;328,51;381,70;434,17;479,17;582,14;494,73;479,38;454,39;427,43;415,19;409,28;426,91;476,06;575,40;565,24;498,77;488,82;423,91;414,99;394,35;13.01.2021;436,52;;;;;;;
14.01.2021;385,20;381,17;381,89;;407,30;435,39;468,23;567,78;840,00;939,76;921,89;925,61;940,27;916,52;899,48;867,26;825,75;861,48;1039,62;931,08;905,68;770,19;647,92;617,76;574,18;14.01.2021;727,14;;;;;;;
15.01.2021;505,35;489,98;476,87;;467,38;479,35;514,53;649,69;823,96;997,08;1033,40;935,69;897,31;817,66;790,73;795,89;794,24;846,04;1026,59;1011,32;980,27;796,51;693,13;646,08;554,05;15.01.2021;750,96;;;;;;;
16.01.2021;547,92;533,05;514,79;;500,03;496,31;488,68;495,38;530,78;608,60;660,10;637,70;641,21;550,08;506,63;505,39;522,73;610,15;670,94;685,28;658,04;566,18;546,78;535,84;497,14;16.01.2021;562,91;;;;;;;
17.01.2021;482,82;465,48;467,24;;467,14;460,91;460,39;470,88;482,93;492,27;496,01;568,61;603,19;531,63;548,56;518,76;555,42;629,36;696,35;747,76;664,46;648,57;577,02;541,40;487,08;17.01.2021;544,34;;;;;;;
18.01.2021;455,40;460,80;458,31;;461,84;465,58;482,09;557,91;774,03;819,62;785,66;744,33;648,68;604,44;580,65;597,89;596,02;566,43;622,51;572,03;534,02;487,81;473,89;446,06;392,88;18.01.2021;566,20;;;;;;;
19.01.2021;381,90;373,48;361,01;;373,69;381,38;396,35;430,12;485,09;573,11;566,36;547,96;566,36;542,56;541,52;544,22;533,52;539,24;568,44;548,17;471,69;430,33;413,08;380,97;324,54;19.01.2021;469,80;;;;;;;
20.01.2021;313,81;293,84;282,15;;276,98;298,50;330,16;369,37;403,72;426,79;402,48;393,27;392,65;392,34;381,17;380,75;393,06;406,93;470,87;418,10;404,86;369,27;333,05;305,12;263,94;20.01.2021;362,63;;;;;;;
21.01.2021;256,60;239,15;215,30;;206,21;222,11;253,81;283,66;364,71;384,44;364,40;340,86;344,68;347,88;364,92;374,01;378,03;391,67;408,08;384,33;368,74;330,54;310,61;283,24;256,70;21.01.2021;319,78;;;;;;;
22.01.2021;256,98;216,83;184,06;;129,36;207,82;275,83;322,13;376,51;425,17;405,81;395,57;383,68;372,72;366,99;361,25;360,33;365,76;370,98;363,30;341,59;300,41;287,10;279,42;277,67;22.01.2021;317,80;;;;;;;
