;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dato;1;2;3;3B;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;Date;Døgnpris;;;;;;;
01.01.2022;1327,64;1291,77;1319,55;;1113,34;1122,43;1137,92;1221,34;1184,67;1183,57;1177,48;1199,16;1169,59;1170,59;1199,66;1244,22;1247,71;1354,61;1498,28;1505,67;1436,73;1402,27;1397,17;1349,52;1233,03;01.01.2022;1270,33;;;;;;;
02.01.2022;1135,15;1116,15;1064,87;;1044,58;1040,18;1058,18;1119,25;1051,78;1114,85;1157,64;1218,91;1212,51;1123,85;1113,45;1114,35;1181,43;1222,51;1297,38;1359,16;1282,79;1162,73;1101,56;1047,68;1101,16;02.01.2022;1143,42;;;;;;;
03.01.2022;1249,40;1233,61;1226,81;;1215,01;1221,61;1235,21;1206,32;1209,52;1265,49;1325,07;1229,21;1230,81;1239,20;1266,19;1336,97;1376,65;1374,25;1436,73;1450,72;1427,53;1421,63;1395,44;1307,38;1135,95;03.01.2022;1292,36;;;;;;;
04.01.2022;1318,09;1319,69;1286,56;;1155,77;1134,65;1331,60;1435,48;1550,46;1680,06;1667,75;1674,15;1647,43;1601,00;1558,07;1552,76;1585,69;1614,71;1678,86;1645,83;1539,95;1469,20;1416,76;1373,23;1143,36;04.01.2022;1474,21;;;;;;;
05.01.2022;1333,09;1235,37;1117,92;;1035,01;1059,94;1218,35;1385,06;1389,26;1389,66;1393,27;1392,57;1382,45;1371,04;1370,44;1367,83;1372,24;1418,50;1482,78;1439,43;1402,68;1378,25;1391,77;1370,94;1356,92;05.01.2022;1335,62;;;;;;;
06.01.2022;1257,28;1248,59;1249,29;;1298,46;1399,29;1467,95;1517,91;1535,20;1825,21;2057,36;2091,14;2245,64;2188,48;2025,78;2092,24;2239,34;2386,65;2659,87;2647,88;2138,01;2114,52;1966,72;1558,29;1396,89;06.01.2022;1858,67;;;;;;;
07.01.2022;1346,16;1300,74;1231,40;;1226,58;1226,78;1277,93;1408,77;1533,88;1570,66;1579,20;1577,89;1616,98;1625,02;1619,40;1633,97;1784,90;1966,69;2367,24;2417,09;1736,67;1612,86;1587,24;1546,54;1454,69;07.01.2022;1593,72;;;;;;;
08.01.2022;1489,76;1464,60;1450,16;;1461,19;1473,52;1472,62;1469,41;1475,63;1495,88;1519,34;1548,72;1543,10;1545,81;1519,34;1520,54;1546,81;1567,46;1519,44;1487,56;1404,44;1283,83;1269,49;1235,10;1222,57;08.01.2022;1457,76;;;;;;;
09.01.2022;1255,18;1153,23;1118,48;;1090,83;1027,84;997,59;1018,12;1018,33;1120,38;1287,53;1351,62;1447,67;1488,93;1504,05;1506,16;1540,01;1812,41;2164,74;2364,84;2002,30;1544,41;1506,86;1484,52;1450,07;09.01.2022;1427,34;;;;;;;
10.01.2022;1444,96;1382,97;1371,25;;1392,69;1432,04;1523,18;1666,10;2493,74;2861,49;3053,77;3009,21;3006,10;2908,36;2804,50;1601,80;1696,54;1620,13;1634,15;1807,31;1552,73;1600,20;1629,04;1557,13;1503,15;10.01.2022;1939,69;;;;;;;
11.01.2022;1475,75;1438,33;1402,82;;1400,41;1416,32;1471,75;1476,65;1523,58;1538,38;1536,18;1535,48;1562,50;1538,48;1530,98;1531,78;1540,39;1565,10;1686,86;1632,33;1534,78;1532,08;1537,08;1506,37;1454,34;11.01.2022;1515,36;;;;;;;
