time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,-7.24,84.96,0.0,-0.0,0.0,255.5,2.01,18.0,98168.0
20060101:0100,-6.54,85.98,0.0,-0.0,0.0,262.6,1.9,20.0,98149.0
20060101:0200,-5.84,86.99,0.0,-0.0,0.0,269.69,1.79,21.0,98159.0
20060101:0300,-5.14,88.01,0.0,-0.0,0.0,276.79,1.68,20.0,98168.0
20060101:0400,-4.44,89.03,0.0,-0.0,0.0,283.89,1.57,17.0,98198.0
20060101:0500,-3.73,90.04,0.0,-0.0,0.0,290.99,1.46,14.0,98208.0
20060101:0600,-3.03,91.06,0.0,-0.0,0.0,298.08,1.35,9.0,98267.0
20060101:0700,-2.33,92.08,0.0,-0.0,0.0,305.18,1.24,6.0,98325.0
20060101:0800,-3.38,94.35,0.0,-0.0,0.0,283.8,1.1,358.0,98404.0
20060101:0900,-3.46,94.7,2.0,0.0,2.0,287.6,0.97,353.0,98473.0
20060101:1000,-3.59,94.55,6.0,0.0,6.0,285.4,0.83,349.0,98532.0
20060101:1100,-3.34,93.55,27.0,0.0,27.0,283.4,0.62,343.0,98581.0
20060101:1200,-3.3,93.85,9.0,0.0,9.0,284.2,0.62,342.0,98620.0
20060101:1300,-3.3,94.5,3.0,0.0,3.0,282.8,0.62,345.0,98649.0
20060101:1400,-3.79,95.6,0.0,-0.0,0.0,280.8,0.83,340.0,98708.0
20060101:1500,-4.12,95.95,0.0,-0.0,0.0,276.8,0.83,329.0,98777.0
20060101:1600,-4.25,96.35,0.0,-0.0,0.0,279.0,0.69,312.0,98855.0
20060101:1700,-4.38,96.35,0.0,-0.0,0.0,277.8,0.62,302.0,98934.0
20060101:1800,-4.29,95.65,0.0,-0.0,0.0,289.0,0.48,306.0,98983.0
20060101:1900,-4.53,94.6,0.0,-0.0,0.0,287.4,0.62,294.0,99061.0
20060101:2000,-4.87,94.5,0.0,-0.0,0.0,277.6,0.76,283.0,99120.0
20060101:2100,-5.31,94.35,0.0,-0.0,0.0,269.6,0.83,291.0,99199.0
20060101:2200,-5.8,94.35,0.0,-0.0,0.0,260.6,0.9,296.0,99248.0
20060101:2300,-6.04,94.9,0.0,-0.0,0.0,252.8,0.76,300.0,99336.0
20060102:0000,-6.09,95.45,0.0,-0.0,0.0,254.8,0.69,307.0,99385.0
20060102:0100,-6.45,95.85,0.0,-0.0,0.0,244.8,0.76,320.0,99444.0
20060102:0200,-7.51,95.8,0.0,-0.0,0.0,242.0,0.97,323.0,99532.0
20060102:0300,-8.04,95.5,0.0,-0.0,0.0,245.6,0.97,323.0,99611.0
20060102:0400,-8.32,95.3,0.0,-0.0,0.0,239.6,0.9,325.0,99650.0
20060102:0500,-8.95,94.95,0.0,-0.0,0.0,227.4,0.97,323.0,99689.0
20060102:0600,-10.15,94.45,0.0,-0.0,0.0,217.8,1.17,324.0,99768.0
20060102:0700,-11.38,93.15,0.0,-0.0,0.0,220.8,1.24,323.0,99837.0
20060102:0800,-12.01,92.35,0.0,-0.0,0.0,227.2,1.31,328.0,99935.0
20060102:0900,-12.62,91.6,28.0,374.73,10.0,225.8,1.38,329.0,100033.0
20060102:1000,-12.25,91.5,45.0,94.46,36.0,231.0,1.1,336.0,100082.0
20060102:1100,-11.76,91.3,22.0,0.0,22.0,236.6,0.83,334.0,100151.0
20060102:1200,-11.34,91.05,48.0,100.28,38.0,242.6,0.76,329.0,100190.0
20060102:1300,-11.65,90.45,5.0,0.0,5.0,231.4,0.76,330.0,100229.0
20060102:1400,-12.22,89.85,0.0,-0.0,0.0,237.8,0.9,338.0,100298.0
20060102:1500,-12.72,89.85,0.0,-0.0,0.0,231.8,0.97,348.0,100347.0
20060102:1600,-13.09,89.35,0.0,-0.0,0.0,231.0,0.97,351.0,100425.0
20060102:1700,-13.57,88.95,0.0,-0.0,0.0,221.0,1.03,346.0,100435.0
20060102:1800,-13.5,88.5,0.0,-0.0,0.0,226.6,0.9,336.0,100514.0
20060102:1900,-12.77,89.5,0.0,-0.0,0.0,232.0,0.9,352.0,100533.0
